model_id,fecha,autor,algoritmo,n_features,imbalance_strategy,cv_folds,cv_F1,cv_Precision,cv_Recall,auc_roc,kaggle_public_F1,threshold,notas,cp,maxdepth,train_F1,train_Precision,train_Recall,nrounds,max_depth,eta,gamma,min_child_weight,colsample_bytree,subsample,lambda,alpha,67
EN_001A,2026-04-14,Dani,ElasticNet,93,none,5,0.6954,0.6438,0.7561,0.9232,0.69,0.35,"Sin indices compuestos -- misma especificacion que LPM_002A. glmnet binomial, center+scale.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN_001B,2026-04-14,Dani,ElasticNet,69,none,5,0.6853,0.6343,0.7452,0.9177,0.68,0.35,"Con indices compuestos -- misma especificacion que LPM_002B. glmnet binomial, center+scale.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN_RF_top20,2026-04-14,Dani,ElasticNet,20,none,5,0.6567,0.5895,0.7413,0.9019,NA,0.32,"EN top-20 vars RF_001. glmnet binomial, center+scale. Threshold optimizado OOF.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN_RF_top40,2026-04-14,Dani,ElasticNet,40,none,5,0.6781,0.6282,0.7368,0.9134,NA,0.35,"EN top-40 vars RF_001. glmnet binomial, center+scale. Threshold optimizado OOF.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN_RF_top60,2026-04-14,Dani,ElasticNet,60,none,5,0.6832,0.6401,0.7326,0.9168,NA,0.36,"EN top-60 vars RF_001. glmnet binomial, center+scale. Threshold optimizado OOF.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RF_005,2026-04-15,Jonathan Melo,RandomForest,110,none,5,0.7167,0.6752,0.7635,0.9294,NA,0.38,"RF ranger. Feature selection con CV-5 honesto: importance recalculada por fold. n_top óptimo=110 (evaluado sobre {20,40,60,80,110}). mtry=50 min_node_size=3 splitrule=gini num.trees=150 respect.unordered.factors=order. ciudad en subset: TRUE. Threshold OOB (max F1). th=0.38 F1_OOB=0.7167 F1_CV5=0.7183 AUC_OOB=0.9294.",NA,NA,0.7167,0.6752,0.7635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XGB_003_All,2026-04-15,Jonathan Melo,XGBoost,110,none,5,0.7377,0.6892,0.7934,0.9429,0.72,0.35,"XGBoost. Variables geog. incluidas (ciudad/dpto entero-codificadas). Random search HP: N=30 combos, early_stop=25. Mejor feature set: All (110 vars). max_depth=8 eta=0.08 gamma=0 min_child_w=10 colsample=0.3 subsample=1 lambda(L2)=0.1 alpha(L1)=0 nrounds=282. OOF: th=0.35 F1=0.7377 AUC=0.9429.",NA,NA,NA,NA,NA,282,8,0.08,0,10,0.3,1,0.1,0,NA
XGB_004,2026-04-16,Jonathan Melo,XGBoost,110,baseline,5,0.7383,0.6845,0.8014,0.9429,0.72,0.33999999999999997,XGBoost. Fase1: random search HP (N=30 combos) CV-5 OOF early_stop=25. Mejor HP: depth=8 eta=0.08 gam=0 mcw=10 col=0.3 sub=1 L2=0.1 L1=0 F1_HP=0.7381. Fase2: 5 tecnicas balanceo OOF global. Mejor: baseline F1_bal=0.7383. nrounds=316 th=0.34 AUC=0.9429. Todas las 110 vars (ciudad/dpto entero-ordinal).,NA,8,0.7383,0.6845,0.8014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NB_RF_top20_baseline,2026-04-17,Natalia,NaiveBayes,20,baseline,5,0.6186,NA,NA,0.876,NA,0.95,"NB top-20 vars RF_001. usekernel=TRUE, laplace=1. Balanceo: comparacion 5 tecnicas CV-5. Mejor: baseline F1_CV5=0.6186. Threshold=promedio th CV-5 (0.95). Binarias como distribucion. Ciudad/dpto si en top-N.",NA,NA,0.6191,0.5143,0.7776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CART_RF_top60_baseline,2026-04-17,Natalia,CART,60,baseline,5,0.6774,NA,NA,0.9138,NA,0.25,"CART top-60 vars RF_001. cp=1e-04, maxdepth=20. Balanceo: comparacion 5 tecnicas CV-5. Mejor: baseline F1_CV5=0.6774. Threshold=promedio th CV-5 (0.25). class_weights via parms=list(prior) en rpart.",1e-4,20,0.7118,0.6652,0.7654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPM_003B,2026-04-19,Jonathan,LPM,82,upsample,5,0.6716,0.6131,0.7449,0.9105,0.67,0.61,"LPM Esp.B (indices compuestos, sin componentes). Fase1: feat selection CV-5 (top20/40/60/all desde RF_006 filtrado). Mejor subset: all (82 vars) F1_CV5=0.659. Fase2: comparacion 5 tecnicas balanceo CV-5. Mejor: upsample F1_bal=0.6716. th=0.61 AUC=0.9105.",NA,NA,0.6726,0.6131,0.7449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XGB_005,2026-04-19,Jonathan,XGBoost,110,class_weights,5,0.7379,0.7047,0.7744,0.9429,0.72,0.6900000000000001,XGBoost anti-overfit (successor XGB_004 F1_OOF=0.7383 Kaggle=0.72). Cambios: max_depth<={3..6}; subsample in {0.6..0.9}; gamma in {0.5..5}; lambda in {1..10}; +colsample_bylevel; early_stop=50. Fase1: random search HP (N=30 combos) CV-5 OOF. Mejor HP: depth=6 eta=0.08 gam=0.5 mcw=1 col_t=0.8 col_l=0.5 sub=0.8 L2=10 L1=2 F1_HP=0.7394. Fase2: 5 tecnicas balanceo OOF global. Mejor: class_weights F1_bal=0.7379. nrounds=499 th=0.69 AUC=0.9429. Todas las 110 vars (ciudad/dpto entero-ordinal).,NA,6,0.7379,0.7047,0.7744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XGB_006,2026-04-21,Jonathan,XGBoost,94,baseline,5,0.7387,0.7044,0.7765,0.9434,NA,0.38,"XGBoost sin variables construidas (successor XGB_005). Excluidas 16 vars: cuadrát. (educ_jefe_sq, educ_prom_sq, ratio_depend_sq, tasa_ocup_sq, hacinamiento_sq, edad_jefe_sq), log. (log_num_personas, log_n_menores), interact. (educ_x_formal, educ_x_ocup, menores_x_desocup, depend_x_informal, rural_x_cta_propia, educ_x_rural, subsidiado_x_menores, jefe_mayor_pension). Grid HP y técnicas balanceo idénticos a XGB_005. Bogotá incluida en train. N_features=94. Mejor HP: depth=6 eta=0.08 gam=0.5 mcw=1 col_t=0.8 col_l=0.5 sub=0.8 L2=10 L1=2 F1_HP=0.7388. Mejor balanceo: baseline F1=0.7387 nrounds=493 th=0.38 AUC=0.9434.",NA,6,0.7387,0.7044,0.7765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XGB_007,2026-04-21,Jonathan,XGBoost,93,baseline,5,0.7409,0.7064,0.7788,0.9419,NA,0.38,"XGBoost sin vars construidas + sin Bogotá (successor XGB_005). Excluidas 16 vars construidas (igual que XGB_006) + bogota (const. 0). Bogotá excluida de train: dpto!='11' (10567 obs, 6.4% del train original). Prevalencia pobreza: 20.02% → 20.72% tras filtro. N_features=93 | N_train=154393. Grid HP idéntico a XGB_005. Mejor HP: depth=6 eta=0.08 gam=0.5 mcw=1 col_t=0.8 col_l=0.5 sub=0.8 L2=10 L1=2 F1_HP=0.7403. Mejor balanceo: baseline F1=0.7409 nrounds=497 th=0.38 AUC=0.9419.",NA,6,0.7409,0.7064,0.7788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XGB_008,2026-04-21,Jonathan,XGBoost,75,baseline,5,0.7389,0.693,0.7912,0.9413,0.73,0.36,"XGBoost índices vs componentes. Base XGB_007 (sin vars construidas, sin Bogotá). SpecA: 75 features (componentes, excluye 18 índices). SpecB: 67 features (índices, excluye 26 componentes). Ganador: Spec A (componentes). F1_OOF_A=0.7389 vs F1_OOF_B=0.7365 (delta=0.0024). Mejor HP ganador: depth=6 eta=0.08 gam=0.5 mcw=1 col_t=0.8 col_l=0.5 sub=0.8 L2=10 L1=2. Técnica: baseline nrounds=497 th=0.36 AUC=0.9413. Train sin Bogotá: 154393 obs.",NA,6,0.7389,0.693,0.7912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPM_002A,2026-04-22,Jonathan,LPM,99,none,5,0.672,0.6013,0.7617,0.9061,NA,0.33999999999999997,"Sin índices compuestos — se conservan componentes: ciudad, dpto, dep_*, alguno_*, prop. individuales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPM_002B,2026-04-22,Jonathan,LPM,82,none,5,0.6606,0.5845,0.7595,0.9005,NA,0.33,"Con índices compuestos — se eliminan componentes: zona, dummies regionales, n_privaciones, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPM_002A,2026-04-22,Jonathan,LPM,99,none,5,0.672,0.6013,0.7617,0.9061,NA,0.33999999999999997,"Sin índices compuestos — se conservan componentes: ciudad, dpto, dep_*, alguno_*, prop. individuales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPM_002B,2026-04-22,Jonathan,LPM,82,none,5,0.6606,0.5845,0.7595,0.9005,NA,0.33,"Con índices compuestos — se eliminan componentes: zona, dummies regionales, n_privaciones, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPM_002A,2026-04-22,Jonathan,LPM,99,none,5,0.672,0.6013,0.7617,0.9061,NA,0.33999999999999997,"Sin índices compuestos — se conservan componentes: ciudad, dpto, dep_*, alguno_*, prop. individuales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPM_002B,2026-04-22,Jonathan,LPM,82,none,5,0.6606,0.5845,0.7595,0.9005,NA,0.33,"Con índices compuestos — se eliminan componentes: zona, dummies regionales, n_privaciones, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPM_002A,2026-04-22,Jonathan,LPM,98,none,5,0.672,0.6013,0.7617,0.9061,NA,0.33999999999999997,"Sin índices compuestos — se conservan componentes: ciudad, dpto, dep_*, alguno_*, prop. individuales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPM_002B,2026-04-22,Jonathan,LPM,81,none,5,0.6606,0.5845,0.7595,0.9005,NA,0.33,"Con índices compuestos — se eliminan componentes: zona, dummies regionales, n_privaciones, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN_001A,2026-04-22,Dani,ElasticNet,91,none,5,0.6955,0.6504,0.7473,0.9232,NA,0.36,"Sin indices compuestos -- misma especificacion que LPM_002A. glmnet binomial, center+scale.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN_001B,2026-04-22,Dani,ElasticNet,69,none,5,0.6853,0.6343,0.7452,0.9177,NA,0.35,"Con indices compuestos -- misma especificacion que LPM_002B. glmnet binomial, center+scale.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NB_001A,2026-04-22,Natalia,NaiveBayes,98,none,5,0.5628,0.4087,0.9036,0.8763,NA,0.95,"Sin indices compuestos — LPM_002A. usekernel=TRUE, laplace=1. Ciudad/dpto incluidos como factor. Binarias 0/1 como distribucion (no factor). Folds estratificados. Threshold CV-5 OOF.",NA,NA,0.5656,0.4119,0.9025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NB_001B,2026-04-22,Natalia,NaiveBayes,82,none,5,0.5756,0.4242,0.8952,0.8761,NA,0.95,"Con indices compuestos — LPM_002B. usekernel=TRUE, laplace=1. Ciudad/dpto incluidos como factor. Binarias 0/1 como distribucion (no factor). Folds estratificados. Threshold CV-5 OOF.",NA,NA,0.5786,0.4282,0.8918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CART_baseline_cp001,2026-04-22,Natalia,CART,90,none,NA,NA,NA,NA,0.8668,0.62,0.5,"Baseline CART. cp=0.001, maxdepth=20. threshold=0.5 (default, sin CV-OOF). Top vars: menores_por_ocupado, prop_cotiza_pension, indice_formalidad",0.001,20,0.6472,0.7256,0.5842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CART_cv5_F1opt,2026-04-22,Natalia,CART,90,none,5,0.6617,NA,NA,0.8955,0.66,0.5,CART tuneado con CV-5. Mejor cp=1e-04. F1 CV-5=0.6617. threshold=0.5 (default).,1e-4,20,0.7216,0.7783,0.6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CART_cp0001_thopt,2026-04-22,Natalia,CART,90,none,5,0.6746,0.6341,0.7206,0.8893,0,0.25,CART cp=1e-04 (mejor del tuning CV-5). Threshold optimo CV-5 OOF=0.25.,1e-4,20,0.7216,0.7783,0.6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,67
LPM_003A,2026-04-23,Jonathan,LPM,81,class_weights,5,0.6854,0.6258,0.7572,0.914,NA,0.6100000000000001,"LPM Esp.A (componentes, sin indices compuestos). Fase1: feat selection CV-5 (top20/40/60/all desde RF_006 filtrado). Mejor subset: all (81 vars) F1_CV5=0.6735. Fase2: comparacion 5 tecnicas balanceo CV-5. Mejor: class_weights F1_bal=0.6854. th=0.61 AUC=0.914.",NA,NA,0.6853,0.6258,0.7572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN_001A,2026-04-23,Dani,ElasticNet,91,none,5,0.6978,0.6516,0.7509,0.9213,NA,0.36,"Sin indices compuestos -- misma especificacion que LPM_002A. glmnet binomial, center+scale.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN_001B,2026-04-23,Dani,ElasticNet,69,none,5,0.6872,0.6349,0.7489,0.9156,NA,0.35,"Con indices compuestos -- misma especificacion que LPM_002B. glmnet binomial, center+scale.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NB_RF_top20,2026-04-23,Natalia,NaiveBayes,20,none,5,0.5615,0.4213,0.8417,0.8611,NA,0.95,"NB top-20 vars RF_006. usekernel=TRUE, laplace=1. Ciudad/dpto incluidos si en top-N. Binarias como distribucion (no factor). Threshold CV-5 OOF.",NA,NA,0.5605,0.42,0.8423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NB_RF_top40,2026-04-23,Natalia,NaiveBayes,40,none,5,0.6013,0.4658,0.8477,0.878,NA,0.95,"NB top-40 vars RF_006. usekernel=TRUE, laplace=1. Ciudad/dpto incluidos si en top-N. Binarias como distribucion (no factor). Threshold CV-5 OOF.",NA,NA,0.6012,0.4656,0.8483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NB_RF_top60,2026-04-23,Natalia,NaiveBayes,60,none,5,0.6084,0.4746,0.8473,0.8808,NA,0.95,"NB top-60 vars RF_006. usekernel=TRUE, laplace=1. Ciudad/dpto incluidos si en top-N. Binarias como distribucion (no factor). Threshold CV-5 OOF.",NA,NA,0.6084,0.4743,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CART_RF_top20,2026-04-23,Natalia,CART,20,none,5,0.6637,0.6382,0.6912,0.8791,NA,0.29,CART top-20 vars RF_001. CV anidado 5x3. cp elegido por CV-3 interno=5e-04. Threshold CV-5 OOF=0.29.,5e-4,20,0.6657,0.6334,0.7014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CART_RF_top40,2026-04-23,Natalia,CART,40,none,5,0.6728,0.6657,0.68,0.8807,NA,0.29,CART top-40 vars RF_001. CV anidado 5x3. cp elegido por CV-3 interno=1e-04. Threshold CV-5 OOF=0.29.,1e-4,20,0.7141,0.7131,0.7151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CART_RF_top60,2026-04-23,Natalia,CART,60,none,5,0.6744,0.6709,0.678,0.8874,NA,0.29,CART top-60 vars RF_001. CV anidado 5x3. cp elegido por CV-3 interno=1e-04. Threshold CV-5 OOF=0.29.,1e-4,20,0.7163,0.7114,0.7213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XGB_008,2026-04-23,Jonathan,XGBoost,75,baseline,5,0.7394,0.6984,0.7854,0.9412,NA,0.37,"XGBoost índices vs componentes. Base XGB_007 (sin vars construidas, sin Bogotá). SpecA: 75 features (componentes, excluye 18 índices). SpecB: 66 features (índices, excluye 26 componentes). Ganador: Spec A (componentes). F1_OOF_A=0.7394 vs F1_OOF_B=0.735 (delta=0.0044). Mejor HP ganador: depth=6 eta=0.08 gam=0.5 mcw=1 col_t=0.8 col_l=0.5 sub=0.8 L2=10 L1=2. Técnica: baseline nrounds=496 th=0.37 AUC=0.9412. Train sin Bogotá: 154393 obs.",NA,6,0.7394,0.6984,0.7854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RF_006,2026-04-24,Jonathan,RandomForest,92,class_weights,5,0.7212,0.6688,0.7825,0.9307,0.71,0.5,RF ranger. Fase1: HP tuning CV-5 (mtry x mns). Mejor HP: mtry=50 mns=10 F1_HP=0.7188. Fase2: comparacion 5 tecnicas balanceo CV-5. Mejor: class_weights F1_bal=0.722. Modelo final: num.trees=500 splitrule=gini th=0.5. Todas las 92 vars (incluye ciudad y dpto).,NA,NA,0.7212,0.6688,0.7825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN_001A,2026-04-24,Dani,ElasticNet,91,none,5,0.6978,0.6516,0.7509,0.9213,NA,0.36,"Sin indices compuestos -- misma especificacion que LPM_002A. glmnet binomial, center+scale.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN_001B,2026-04-24,Dani,ElasticNet,69,none,5,0.6872,0.6349,0.7489,0.9156,NA,0.35,"Con indices compuestos -- misma especificacion que LPM_002B. glmnet binomial, center+scale.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
